Title: The COS-Halos Survey: An Empirical Description of Metal-Line Absorption 
       in the Low-Redshift Circumgalactic Medium 
Authors: Werk J.K., Prochaska J.X., Thom C., Tumlinson J., Tripp T.M., 
         O'Meara J.M., Peeples M.S. 
Table: Metal Line-Profile Fits and Final Column Densities
================================================================================
Byte-by-byte Description of file: apjs456058t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID     Identifier (1)
  19- 24 F6.4   ---      z      Spectroscopic redshift; Werk et al. 2012
  26- 31 A6     ---      Ion    Metal ion identifier
  33- 38 F6.1   km/s     Vel    ? Component velocity
  40- 44 F5.1   km/s   e_Vel    ? Error in Vel
  46- 50 F5.1   km/s     b      ? Component doppler width
  52- 56 F5.1   km/s   e_b      ? Error in b (2)
  58- 62 F5.2   [cm-2]   logN   ? Log of column density
  64- 67 A4     [cm-2]   elogN  ? Error in logN
      69 A1     ---    l_logNA  Limit flag on logNA
  71- 75 F5.2   [cm-2]   logNA  ? Log of AODM column density
  77- 80 F4.2   [cm-2] e_logNA  ? Uncertainty in logNA
--------------------------------------------------------------------------------
Note (1): SDSS Field Identifier and galaxy identifier, where the first number 
          is the position angle in degrees from the QSO and the second number 
          is the projected separation in arcseconds (impact parameter) from 
          the QSO.
Note (2): A few of the component Doppler parameter errors of especially weak 
          absorption lines are given as -0.0, a red flag that the fits should 
          not be trusted in those particular instances.
--------------------------------------------------------------------------------
J0943+0531_227_19 0.3530 N II    183.9   3.4  43.0   4.7 14.69 0.05 > 14.74     
J0943+0531_227_19 0.3530 O VI     74.7   2.1  20.7   2.9 14.60 0.08 > 14.48     
J0950+4831_177_27 0.2119 C II    -81.6   1.5  32.4   2.3 14.73 0.04 > 14.63     
J0950+4831_177_27 0.2119 C III   -90.2   2.8  20.8   1.5 17.59 0.14 > 14.43     
J0950+4831_177_27 0.2119 C III  -195.9   3.8   9.7   8.8 13.26 0.28 > 14.43     
J0950+4831_177_27 0.2119 C III    16.0   5.2  17.2   9.6 13.26 0.15 > 14.43     
J0950+4831_177_27 0.2119 N II    -74.0   2.4  26.1   3.4 14.52 0.05 > 14.41     
J0950+4831_177_27 0.2119 O I     -90.4   5.1  26.4   7.7 14.33 0.09   14.27 0.12
J0950+4831_177_27 0.2119 O VI    -44.4   3.9  52.9   5.7 14.26 0.04   14.24 0.05
J0950+4831_177_27 0.2119 Mg I    -70.1   1.2  19.9   1.6 11.92 0.03   11.92 0.05
J0950+4831_177_27 0.2119 Mg II   -83.6   1.3  28.5   0.8 13.30 0.03 > 13.73     
J0950+4831_177_27 0.2119 Mg II   -65.1   0.4  11.7   0.6 13.62 0.04 > 13.73     
J0950+4831_177_27 0.2119 Si II   -80.4   2.9  17.2   3.4 13.81 0.15   14.01 0.04
J0950+4831_177_27 0.2119 Si II  -108.8  17.8  30.4  11.8 13.43 0.33   14.01 0.04
J0950+4831_177_27 0.2119 Si III  -93.8   2.2  47.6   3.2 13.78 0.05 > 13.73     
J0950+4831_177_27 0.2119 Si III -295.5   9.6  32.0  14.9 12.50 0.14 > 13.73     
J0950+4831_177_27 0.2119 Si IV   -89.5   4.2  30.1   6.0 13.83 0.10 > 13.75     
J1009+0713_204_17 0.2278 C II    -45.5   2.3  12.6   4.1 14.02 0.10   14.37 0.05
J1009+0713_204_17 0.2278 O VI    -38.0   6.3  55.4   5.8 14.94 0.06   14.97 0.02
J1009+0713_204_17 0.2278 O VI     74.6  24.7  69.3  22.2 14.44 0.19   14.97 0.02
J1009+0713_204_17 0.2278 Mg II   -52.8   0.2   5.2   0.3 12.50 0.02   12.68 0.03
J1009+0713_204_17 0.2278 Si III  -45.0   2.6  20.0   4.2 13.20 0.08 > 13.26     
J1009+0713_204_17 0.2278 Si III    9.9   3.4   8.8   6.8 12.61 0.18 > 13.26     
J1009+0713_170_9  0.3557 C III   -98.7  15.2  23.4  11.8 14.73 1.08 > 14.62     
J1009+0713_170_9  0.3557 C III    11.6  10.5  33.0 121.6 15.43 9.58 > 14.62     
J1009+0713_170_9  0.3557 C III   110.2  12.4  12.2  12.4 15.89 3.96 > 14.62     
J1009+0713_170_9  0.3557 C III   200.8   4.0  23.9   7.0 13.50 0.09 > 14.62     
J1009+0713_170_9  0.3557 N II     20.9   4.0  27.6   6.4 14.33 0.07   14.49 0.06
J1009+0713_170_9  0.3557 N II     94.4   5.7  18.0   9.7 13.92 0.14   14.49 0.06
J1009+0713_170_9  0.3557 N II    182.8  18.7  37.1  30.5 13.62 0.23   14.49 0.06
J1009+0713_170_9  0.3557 N III   -84.8   2.9  15.5   4.9 14.28 0.11 > 14.93     
J1009+0713_170_9  0.3557 N III     4.2   3.4  29.7   5.5 14.68 0.07 > 14.93     
J1009+0713_170_9  0.3557 N III    94.3   4.2  29.1   6.9 14.49 0.07 > 14.93     
J1009+0713_170_9  0.3557 O I       0.2   4.9  25.1   6.5 14.59 0.10 > 14.71     
J1009+0713_170_9  0.3557 O I      77.2  17.5  42.5  25.0 14.22 0.21 > 14.71     
J1009+0713_170_9  0.3557 O VI    -95.5   4.6  41.5   5.5 14.61 0.05   15.00 0.03
J1009+0713_170_9  0.3557 O VI     25.5   9.2  60.5  22.4 14.52 0.12   15.00 0.03
J1009+0713_170_9  0.3557 O VI    117.2   6.9  29.8  10.4 14.21 0.16   15.00 0.03
J1009+0713_170_9  0.3557 O VI    200.7   2.8  25.0   4.2 14.34 0.05   15.00 0.03
J1009+0713_170_9  0.3557 Mg I     13.3   0.4   7.0   0.5 11.92 0.03   12.21 0.03
J1009+0713_170_9  0.3557 Mg I     75.2   1.9  17.6   2.7 11.66 0.06   12.21 0.03
J1009+0713_170_9  0.3557 Mg II   -85.8   0.3  11.0   0.3 12.82 0.01 > 14.04     
J1009+0713_170_9  0.3557 Mg II   -56.1   0.5   5.9   0.7 12.02 0.05 > 14.04     
J1009+0713_170_9  0.3557 Mg II     0.0   1.1  20.3   0.6 13.33 0.03 > 14.04     
J1009+0713_170_9  0.3557 Mg II    12.3   0.4   7.6   0.7 13.47 0.08 > 14.04     
J1009+0713_170_9  0.3557 Mg II    43.1   0.2   6.8   0.2 13.05 0.02 > 14.04     
J1009+0713_170_9  0.3557 Mg II    69.7   0.6   8.1   0.5 13.12 0.05 > 14.04     
J1009+0713_170_9  0.3557 Mg II    92.2   0.9  16.2   0.7 13.45 0.03 > 14.04     
J1009+0713_170_9  0.3557 Si II   -97.7  11.8  28.6  17.8 12.99 0.20   14.36 0.07
J1009+0713_170_9  0.3557 Si II    12.4  12.3  28.0  10.5 13.84 0.17   14.36 0.07
J1009+0713_170_9  0.3557 Si II    76.8  10.0  27.5   8.9 13.91 0.17   14.36 0.07
J1009+0713_170_9  0.3557 Si III  -77.9   7.1  33.2  10.3 13.58 0.15 > 13.92     
J1009+0713_170_9  0.3557 Si III   49.3   5.6  27.1   4.9 16.34 0.81 > 13.92     
J1009+0713_170_9  0.3557 Si III  215.3  10.1  20.7  17.6 12.62 0.25 > 13.92     
J1009+0713_170_9  0.3557 Fe II    12.6   0.3   9.6   0.4 13.40 0.02 > 13.79     
J1009+0713_170_9  0.3557 Fe II    42.0   0.3   5.6   0.3 12.94 0.03 > 13.79     
J1009+0713_170_9  0.3557 Fe II    69.5   0.6   9.4   0.7 13.09 0.03 > 13.79     
J1009+0713_170_9  0.3557 Fe II    92.8   0.7   9.7   0.9 13.03 0.03 > 13.79     
J1016+4706_274_6  0.2520 C II     27.1   2.8  23.2   4.3 14.35 0.05   14.68 0.03
J1016+4706_274_6  0.2520 C II     94.3   3.6  22.7   5.6 14.16 0.06   14.68 0.03
J1016+4706_274_6  0.2520 C II    168.5   2.2  14.5   3.8 14.16 0.09   14.68 0.03
J1016+4706_274_6  0.2520 C III    31.4 109.9  11.4  35.8 14.62 **** > 14.58     
J1016+4706_274_6  0.2520 C III   127.7 127.8  39.7  82.6 15.70 5.70 > 14.58     
J1016+4706_274_6  0.2520 C III   250.2  12.6  28.4   8.4 14.05 0.26 > 14.58     
J1016+4706_274_6  0.2520 N II     95.3   3.9  14.5   6.3 13.92 0.11   14.15 0.10
J1016+4706_274_6  0.2520 N III    50.5  10.7  38.0  -0.0 14.09 0.13   14.72 0.04
J1016+4706_274_6  0.2520 N III   117.6   4.3  19.7   9.0 14.28 0.11   14.72 0.04
J1016+4706_274_6  0.2520 N III   177.9   8.1  28.0  11.3 14.10 0.13   14.72 0.04
J1016+4706_274_6  0.2520 O VI     38.4   2.3  24.3   3.8 14.36 0.05   14.87 0.02
J1016+4706_274_6  0.2520 O VI    168.4   9.5 174.7  10.6 14.78 0.03   14.87 0.02
J1016+4706_274_6  0.2520 Mg II    33.1   0.4  18.8   0.5 13.06 0.01 > 13.55     
J1016+4706_274_6  0.2520 Mg II    98.1   0.2   7.1   0.2 13.07 0.03 > 13.55     
J1016+4706_274_6  0.2520 Mg II   170.6   0.5  10.8   0.7 12.55 0.03 > 13.55     
J1016+4706_274_6  0.2520 Si II    23.6   2.1  19.0   3.1 13.44 0.06   13.81 0.05
J1016+4706_274_6  0.2520 Si II    93.6   1.5   7.6   2.1 13.52 0.22   13.81 0.05
J1016+4706_274_6  0.2520 Si II   183.3   8.1  42.6  12.3 13.07 0.09   13.81 0.05
J1016+4706_274_6  0.2520 Si III   30.8   6.5  10.6   3.1 15.83 0.35 > 13.87     
J1016+4706_274_6  0.2520 Si III  101.2   6.8  31.9  17.2 13.31 0.15 > 13.87     
J1016+4706_274_6  0.2520 Si III  170.5   5.2  22.9   6.8 13.36 0.10 > 13.87     
J1016+4706_274_6  0.2520 Si III  248.0   4.6  18.0   7.2 12.74 0.11 > 13.87     
J1016+4706_274_6  0.2520 Fe II    94.9  11.3  11.9  22.1 13.32 0.36   14.18 0.08
J1016+4706_274_6  0.2520 Fe II   139.0   4.3  16.1   7.8 13.87 0.09   14.18 0.08
J1016+4706_359_16 0.1661 C II   -125.3   4.3  12.7   8.1 13.59 0.13   14.27 0.07
J1016+4706_359_16 0.1661 C II    -61.3   2.5  23.0   4.1 14.21 0.05   14.27 0.07
J1016+4706_359_16 0.1661 C II     17.5   3.6  17.4   6.2 13.78 0.08   14.27 0.07
J1016+4706_359_16 0.1661 N II    -60.3   2.5  13.1   4.4 14.04 0.09   14.10 0.08
J1016+4706_359_16 0.1661 N V     -67.9   3.6  27.8   5.5 13.89 0.06   14.17 0.05
J1016+4706_359_16 0.1661 N V    -162.3   7.2  37.2  11.8 13.68 0.09   14.17 0.05
J1016+4706_359_16 0.1661 O VI    -77.6   3.7  72.0   5.1 14.68 0.03   14.63 0.03
J1016+4706_359_16 0.1661 Mg II    13.1   0.9  12.2   1.2 12.55 0.04 > 13.34     
J1016+4706_359_16 0.1661 Mg II   -27.4   1.2   8.1   1.7 12.12 0.08 > 13.34     
J1016+4706_359_16 0.1661 Mg II   -63.1   0.7  14.5   0.9 12.90 0.03 > 13.34     
J1016+4706_359_16 0.1661 Mg II  -114.4   0.8   6.5   1.1 12.16 0.07 > 13.34     
J1016+4706_359_16 0.1661 Si II  -127.3   6.3  24.6   8.8 13.38 0.10   13.68 0.06
J1016+4706_359_16 0.1661 Si II   -69.3   5.3  21.3   7.3 13.40 0.10   13.68 0.06
J1016+4706_359_16 0.1661 Si III -129.2   5.9  38.7   7.2 13.32 0.06 > 13.74     
J1016+4706_359_16 0.1661 Si III   -4.4   3.7  34.0  -0.0 13.21 0.05 > 13.74     
J1016+4706_359_16 0.1661 Si III  -68.3   2.5  12.5   7.9 13.52 0.75 > 13.74     
J1112+3539_236_14 0.2467 O VI    -45.0   7.5  43.9  11.7 14.02 0.08   14.54 0.04
J1112+3539_236_14 0.2467 O VI     36.1   2.2   2.7  31.4 13.39 4.45   14.54 0.04
J1112+3539_236_14 0.2467 O VI    116.2   6.6  58.4  10.3 14.36 0.05   14.54 0.04
J1112+3539_236_14 0.2467 O VI    264.8   5.7  19.6   8.8 13.74 0.11   14.54 0.04
J1112+3539_236_14 0.2467 Mg II    29.7   0.5   4.2   0.7 12.02 0.07   12.38 0.09
J1112+3539_236_14 0.2467 Si III  -48.7   4.5  18.7   7.1 12.86 0.11   12.97 0.11
J1112+3539_236_14 0.2467 Si III   39.4   7.8   6.1  61.7 13.20 ****   12.97 0.11
J1133+0327_110_5  0.2367 C II    142.8   4.4  25.3   5.9 14.44 0.08 > 14.81     
J1133+0327_110_5  0.2367 C II    197.8   5.0  15.1   8.5 14.01 0.16 > 14.81     
J1133+0327_110_5  0.2367 C II    246.5   6.8  10.7  12.9 13.45 0.28 > 14.81     
J1133+0327_110_5  0.2367 C II    383.6   2.1  15.3   4.0 14.48 0.20 > 14.81     
J1133+0327_110_5  0.2367 C III   127.6  14.4  28.9  11.5 13.95 0.24 > 14.35     
J1133+0327_110_5  0.2367 C III   182.4  14.2  12.9  53.1 14.89 **** > 14.35     
J1133+0327_110_5  0.2367 C III   243.2   7.2  25.8   9.3 13.64 0.12 > 14.35     
J1133+0327_110_5  0.2367 C III   384.3   1.6   9.9   2.7 15.96 0.99 > 14.35     
J1133+0327_110_5  0.2367 N II    144.1   6.1  37.6   8.9 14.28 0.07   14.46 0.07
J1133+0327_110_5  0.2367 N II    384.3   2.6  10.1   4.7 14.12 0.18   14.46 0.07
J1133+0327_110_5  0.2367 O VI     11.1   6.6  17.0  10.8 13.73 0.15   14.41 0.07
J1133+0327_110_5  0.2367 O VI     92.2   8.7   8.9  20.1 13.41 0.48   14.41 0.07
J1133+0327_110_5  0.2367 O VI    179.4  12.9  63.0  27.4 14.24 0.13   14.41 0.07
J1133+0327_110_5  0.2367 O VI    265.4   7.8   8.7  18.2 13.43 0.57   14.41 0.07
J1133+0327_110_5  0.2367 O VI    354.4   9.6  25.8  15.1 13.77 0.16   14.41 0.07
J1133+0327_110_5  0.2367 Mg I    130.4   1.4   7.0   2.0 11.45 0.11   12.18 0.07
J1133+0327_110_5  0.2367 Mg I    199.0   0.7   2.1   1.0 10.94 0.20   12.18 0.07
J1133+0327_110_5  0.2367 Mg I    268.8   2.3   9.2   3.2 11.39 0.13   12.18 0.07
J1133+0327_110_5  0.2367 Mg II   130.2   0.4   4.9   0.5 12.97 0.08 > 13.60     
J1133+0327_110_5  0.2367 Mg II   146.8   2.0  29.4   2.3 12.90 0.04 > 13.60     
J1133+0327_110_5  0.2367 Mg II   200.4   0.6   6.2   0.8 12.37 0.05 > 13.60     
J1133+0327_110_5  0.2367 Mg II   238.6   1.3   7.8   1.9 12.05 0.09 > 13.60     
J1133+0327_110_5  0.2367 Mg II   352.5   0.9   6.8   1.3 12.20 0.07 > 13.60     
J1133+0327_110_5  0.2367 Mg II   371.2   0.3   5.7   0.4 12.96 0.05 > 13.60     
J1133+0327_110_5  0.2367 Mg II   394.1   0.5   6.4   0.6 12.53 0.04 > 13.60     
